Date,HomeTeam,AwayTeam
2025-11-01,Boston Celtics,Phoenix Suns
2025-11-01,Brooklyn Nets,Golden State Warriors
2025-11-01,Chicago Bulls,Houston Rockets
2025-11-01,Miami Heat,Dallas Mavericks
2025-11-01,Milwaukee Bucks,Cleveland Cavaliers
2025-11-01,New York Knicks,Los Angeles Lakers
2025-11-01,Philadelphia 76ers,Atlanta Hawks
2025-11-01,Toronto Raptors,Denver Nuggets
2025-11-03,Atlanta Hawks,Boston Celtics
2025-11-03,Chicago Bulls,Milwaukee Bucks
2025-11-03,Cleveland Cavaliers,Toronto Raptors
2025-11-03,Dallas Mavericks,Miami Heat
2025-11-03,Golden State Warriors,Denver Nuggets
2025-11-03,Houston Rockets,Philadelphia 76ers
2025-11-03,Los Angeles Lakers,New York Knicks
2025-11-03,Phoenix Suns,Brooklyn Nets
2025-11-05,Brooklyn Nets,Boston Celtics
2025-11-05,Denver Nuggets,Atlanta Hawks
2025-11-05,Golden State Warriors,Houston Rockets
2025-11-05,Los Angeles Lakers,Phoenix Suns
2025-11-05,Miami Heat,Chicago Bulls
2025-11-05,New York Knicks,Dallas Mavericks
2025-11-05,Philadelphia 76ers,Cleveland Cavaliers
2025-11-05,Toronto Raptors,Milwaukee Bucks
2025-11-07,Atlanta Hawks,Phoenix Suns
2025-11-07,Boston Celtics,Golden State Warriors
2025-11-07,Cleveland Cavaliers,Brooklyn Nets
2025-11-07,Dallas Mavericks,Houston Rockets
2025-11-07,Denver Nuggets,New York Knicks
2025-11-07,Milwaukee Bucks,Los Angeles Lakers
2025-11-07,Philadelphia 76ers,Chicago Bulls
2025-11-07,Toronto Raptors,Miami Heat
2025-11-11,Brooklyn Nets,Miami Heat
2025-11-11,Denver Nuggets,Boston Celtics
2025-11-11,Golden State Warriors,Milwaukee Bucks
2025-11-11,Houston Rockets,Atlanta Hawks
2025-11-11,Los Angeles Lakers,Cleveland Cavaliers
2025-11-11,New York Knicks,Chicago Bulls
2025-11-11,Philadelphia 76ers,Toronto Raptors
2025-11-11,Phoenix Suns,Dallas Mavericks
2025-11-13,Boston Celtics,Dallas Mavericks
2025-11-13,Brooklyn Nets,Philadelphia 76ers
2025-11-13,Chicago Bulls,Atlanta Hawks
2025-11-13,Houston Rockets,Los Angeles Lakers
2025-11-13,Miami Heat,Golden State Warriors
