Team,Timezone
Atlanta Hawks,3
Brooklyn Nets,3
Boston Celtics,3
Charlotte Hornets,3
Chicago Bulls,2
Cleveland Cavaliers,3
Dallas Mavericks,2
Denver Nuggets,1
Detroit Pistons,3
Golden State Warriors,0
Houston Rockets,2
Indiana Pacers,3
LA Clippers,0
Los Angeles Lakers,0
Memphis Grizzlies,2
Miami Heat,3
Milwaukee Bucks,2
Minnesota Timberwolves,2
New Orleans Pelicans,2
New York Knicks,3
Oklahoma City Thunder,2
Orlando Magic,3
Philadelphia 76ers,3
Phoenix Suns,1
Portland Trail Blazers,0
Sacramento Kings,0
San Antonio Spurs,2
Toronto Raptors,3
Utah Jazz,1
Washington Wizards,3
